;tweet;sentiment;content_clean
62;"🇦🇷⚠️🚨 Emmanuel Gigliotti es nuevo jugador de Nacional, jugador de buena trayectoria con pasado en Boca Juniors,Independiente y San Lorenzo. 

— 166 goles en 453 PJ 
— 30 asistencias 
— Obtuvo la Copa Sudamericana 2017 con Independiente 
— 0.36 media goleadora 

Lindos números https://t.co/eN4yP5aZzY";POS;emoji bandera argentina emoji  emoji advertencia emoji  emoji luces de policía emoji   emmanuel  gigliotti es nuevo jugador de  nacional, jugador de buena trayectoria con pasado en  boca  juniors, independiente y  san  lorenzo.  166 goles en 453  pj  30 asistencias   obtuvo la  copa  sudamericana 2017 con  independiente  0.36 media goleadora  lindos números url
1714;@claudipertz77 CABA ni una gota!!!!!;NEG;@usuario  caba ni una gota!!!
1296;"#Cultura 🎭 ¡Ya lo sabe! si quiere disfrutar de arte local y poner su imaginación a volar, puede acompañarnos en la Exposición ""Entre Aguas"" de Julita Luco 🎨.
Los esperamos hasta el 13 de febrero en el Teatro Zapallar
¡El mejor arte es la interpretación mental!

#Zapallar https://t.co/vKn2eCjQMx";POS;"cultura  emoji máscaras de teatro emoji  ¡ ya lo sabe! si quiere disfrutar de arte local y poner su imaginación a volar, puede acompañarnos en la  exposición "" entre  aguas"" de  julita  luco  emoji paleta de pintor emoji .
 los esperamos hasta el 13 de febrero en el  teatro  zapallar
¡ el mejor arte es la interpretación mental! zapallar url"
1311;"Good Mewning @MSuppasit 
Día de mucho calor en Buenos Aires, llegamos a los 47 grados, aunque verte a tí suba más la temperatura, nunca dejaría de hacerlo! 😜😜
Te quiero! 
#mewsuppasit
#มิวศุภศิษฏ์
#SPACEMAN
#mewlions
#Before430 https://t.co/JWWnqXwa0t";POS;good  mewning @usuario  día de mucho calor en  buenos  aires, llegamos a los 47 grados, aunque verte a tí suba más la temperatura, nunca dejaría de hacerlo!  emoji cara sacando la lengua y guiñando un ojo emoji  emoji cara sacando la lengua y guiñando un ojo emoji   te quiero! mewsuppasit #มิวศุภศิษฏ์ spaceman mewlions before430 url
2085;Cada vez que voy a lo de mi mamá, me hace sentir que le iluminó la vida!! A Lucía no le gusta este tweet 😝🤪😂;POS;cada vez que voy a lo de mi mamá, me hace sentir que le iluminó la vida!!  a  lucía no le gusta este tweet  emoji cara con ojos cerrados y lengua fuera emoji  emoji cara de loco emoji  emoji cara llorando de risa emoji
1981;@David_Alfafar Pero si estaba jugando en Japón, no podría venir a lo mejor. Villa en las entrevistas siempre dice que de todos los clubes en los que ha jugado, en el que ha sido más feliz es en el Valencia.;POS;@usuario  pero si estaba jugando en  japón, no podría venir a lo mejor.  villa en las entrevistas siempre dice que de todos los clubes en los que ha jugado, en el que ha sido más feliz es en el  valencia.
1291;@DavilaAurelio Cierto es, los 5 millones de futboleros vamos a estar aglomerados en bares, plazas, restaurantes viendo el partido y sera peligroso, mejor dejen nomas ingresar a esos 25.000 que con aquello los restantes 4'975.000 millones estaremos mas seguros en bares, restaurantes, plazas, etc;NEG;@usuario  cierto es, los 5 millones de futboleros vamos a estar aglomerados en bares, plazas, restaurantes viendo el partido y sera peligroso, mejor dejen nomas ingresar a esos 25.000 que con aquello los restantes 4'975.000 millones estaremos mas seguros en bares, restaurantes, plazas, etc
695;"@jose12_1973 @vikinga_parana Si no dice nada, pero hay que juntar los 6 millones, jejeje
Suena a comentario de pobre lo tuyo, a no ser que seaz el dueño de MELI.
Coincido en Pinamar, la palabra correcta para definirlo seria muy careta, pero hay gente de mucho dinero y se mezclan con los pobres como vos, jaj";NEG;"@usuario @usuario  si no dice nada, pero hay que juntar los 6 millones, jejeje
 suena a comentario de pobre lo tuyo, a no ser que seaz el dueño de  meli.
 coincido en  pinamar, la palabra correcta para definirlo seria muy careta, pero hay gente de mucho dinero y se mezclan con los pobres como vos, jaj"
882;@FalconFRAUDez NONONO q tiemble el mono de Hamilton;NEG;@usuario  nonono q tiemble el mono de  hamilton
927;"A LA REPÚBLICA ARGENTINA LE HACE FALTA UN PRESIDENTE
A LA PCIA DE BUENOS AIRES LE HACE FALTA UN GOBERNADOR Y LA SRA  FERNÁNDEZ DE  LE HACE FALTA UN CALABOZO... https://t.co/KWticeXnMQ";NEG;a  la  repú blica  argentina  le  hace  falta  un  presidente  a  la  pcia  de  buenos  aires  le  hace  falta  un  gobernador  y  la  sra  ferná ndez  de  le  hace  falta  un  calabozo... url
2005;@aCristi63752392 @SimpDeLufu @NotPaloleaks Bue capo, es un decir, media pila XD (lo digo con toda la buena jaja);POS;@usuario @usuario @usuario  bue capo, es un decir, media pila  xd (lo digo con toda la buena jaja)
1216;@cestlaviemacher @jmgmoron Soy fan número de Roger Federer, pero eso no me ciega para reconocer que Rafael Nadal es uno  de los hombres más batalladores del planeta. 🙂;POS;@usuario @usuario  soy fan número de  roger  federer, pero eso no me ciega para reconocer que  rafael  nadal es uno de los hombres más batalladores del planeta.  emoji cara sonriendo ligeramente emoji
986; Fernández define el futuro de Luana Volnovich, un caso que impactó en el corazón de La Cámpora https://t.co/NUIX8q6bJe vía @LANACION En lugar de gobernar el Titanic, pierden tiempo con una decisión simple e ineludible… RAJARLA JUNTO CON SU PAREJITA.;NEG;fernández define el futuro de  luana  volnovich, un caso que impactó en el corazón de  la  cámpora url vía @usuario  en lugar de gobernar el  titanic, pierden tiempo con una decisión simple e ineludible  rajarla  junto  con  su  parejita.
953;@Lucasmillo99 @mey40z @ElJulianismo @Encuest4sFutbol Se lesiono hace 4 dias genio jajajaja estas hablando boludeces.;NEG;@usuario @usuario @usuario @usuario  se lesiono hace 4 dias genio jaja estas hablando boludeces.
1089;"@alchayf ja ja, ""transparencia internacional"". Por lo menos los pibitos seguidores de milei son más sinceros y no necesitan escudarse en el honestismo bobo para oponerse al gasto público social. Además de limitado sos hipócrita.";NEG;"@usuario ja ja, ""transparencia internacional"".  por lo menos los pibitos seguidores de milei son más sinceros y no necesitan escudarse en el honestismo bobo para oponerse al gasto público social.  además de limitado sos hipócrita."
608;Los de JxC la  hablande dialogo x la deuda con el FMI q ellos contrajeron y bla bla bla usando metaforas, pero cuando firmaron lo impagable No paso x el Congreso ni dialogaron...;NEG;los de  jx c la hablande dialogo x la deuda con el  fmi q ellos contrajeron y bla bla bla usando metaforas, pero cuando firmaron lo impagable  no paso x el  congreso ni dialogaron...
1532;@eduardolopezute Preocupate por la negreada de Donda a su empleadaa doméstica. O de los aprietes de Milagro Sala a los indios en Jujuy;NEG;@usuario  preocupate por la negreada de  donda a su empleadaa doméstica.  o de los aprietes de  milagro  sala a los indios en  jujuy
1500;Dime con quién andas y te diré quién eres. A los del @PSOE no se les caa la cara de vergüenza se sentarse con terroristas y con los enemigos de la Nación española. Qué ascazo. https://t.co/jPwl1hrwYv;NEG;dime con quién andas y te diré quién eres.  a los del @usuario no se les caa la cara de vergüenza se sentarse con terroristas y con los enemigos de la  nación española.  qué ascazo. url
220;@madorni Me pueden explicar que carajo es el previaje?;NEG;@usuario  me pueden explicar que carajo es el previaje?
1186;"#Censo2022 | Será el próximo 18 de mayo. La confirmación insta a los gobiernos provinciales a sumarse a la realización del censo. En diálogo con NuevaBA, la provincia confirmó que “hay tareas que se harán coordinadas”.

Por @Toomicorrea  

https://t.co/3PNBXqlgIQ";POS;"censo2022 |  será el próximo 18 de mayo.  la confirmación insta a los gobiernos provinciales a sumarse a la realización del censo.  en diálogo con  nueva ba, la provincia confirmó que ""hay tareas que se harán coordinadas"".  por @usuario url"
998;@FerParets Arranca por la derecha el genio del fútbol mundial;POS;@usuario  arranca por la derecha el genio del fútbol mundial
1674;@alebforo991 @sinecdocal @CinAGCH Broche en la nariz, voto a .;POS;@usuario @usuario @usuario  broche en la nariz, voto a .
1152;"No me quiero ilusionar peroooo,  en Censo 2010 pasaron cosas... 😉☺️🤭 #Censo2022 
#BuenMartes";POS;no me quiero ilusionar perooo, en  censo 2010 pasaron cosas...  emoji cara guiñando el ojo emoji  emoji cara con mano sobre la boca emoji  censo2022 buen martes
1927;"@maval23 @NetoJazz El vigilante de un banco: 
“Un dia llamé a la F y mo me pusiste una de Led Zepellin
- Pero te puse una de Foghat
- “Es cierto! Ya no me acordaba 😉 Adelante jovenazo!” 
#OcurrióAsí ☝️😂";POS;"@usuario @usuario  el vigilante de un banco: "" un dia llamé a la  f y mo me pusiste una de  led  zepellin -  pero te puse una de  foghat - "" es cierto!  ya no me acordaba  emoji cara guiñando el ojo emoji   adelante jovenazo!"" ocurrió así  emoji dedo índice hacia arriba emoji  emoji cara llorando de risa emoji"
452;@Serenapoint @MARCELOFAVAOK Está haciendo procelitismo en la costa, https://t.co/1M230eEQpu;NEG;@usuario @usuario  está haciendo procelitismo en la costa, url
1363;"@dgllv @RMBaloncesto @gabriel_deck He dicho IGUAL no todos lo pensaban por dentro. ¿Sabes leer? ¿Y qué carajo sabes tú? ¿Sabes si estaban todos encantados con que nos dejase tirados en abril?
Cierra tú el culo, a ver si van a volver los ingleses a reventártelo como en Las Malvinas.";NEG;@usuario @usuario @usuario  he dicho  igual no todos lo pensaban por dentro. ¿ sabes leer? ¿ y qué carajo sabes tú? ¿ sabes si estaban todos encantados con que nos dejase tirados en abril?  cierra tú el culo, a ver si van a volver los ingleses a reventártelo como en  las  malvinas.
1516;".@StellaArtois_Ar presenta #LaHoraArtois 🍻
https://t.co/XxsFHrwhEp #SociosCAA @StellaArtois
Bajo el lema ""Todo empieza con una Stella"",  presenta una iniciativa que propone encuentros en el horario post playa o post trabajo donde se podrán vivir nuevas experiencias gastronómicas https://t.co/0BjIOOm08U";POS;".@usuario presenta la hora artois  emoji jarras de cerveza brindando emoji 
url socios caa @usuario
 bajo el lema "" todo empieza con una  stella"", presenta una iniciativa que propone encuentros en el horario post playa o post trabajo donde se podrán vivir nuevas experiencias gastronómicas url"
1640;@KiCocreaEssen Digo, a la gente le pagan por seguir a otros? Si no gusta el tipo de humor, su ideología política, su vocabulario o la concha de la lora, que den unfollows, me saca esa gente 🤦‍♀️🤦‍♀️🤦‍♀️;NEG;@usuario  digo, a la gente le pagan por seguir a otros?  si no gusta el tipo de humor, su ideología política, su vocabulario o la concha de la lora, que den unfollows, me saca esa gente 🤦‍🤦‍🤦‍
670;"Si lo dice el otro medio oficialista de Mendoza... 
OBVIO QUE NO DAN LA CARA, ACASO LA DIO ALGUNA VEZ ALFRED?
Una casta acostumbrada a no rendir cuentas https://t.co/gvihZr1gB5";NEG;"si lo dice el otro medio oficialista de  mendoza...  obvio  que  no  dan  la  cara,  acaso  la  dio  alguna  vez  alfred?
 una casta acostumbrada a no rendir cuentas url"
1896;"Vamos a jugar un juego, mujeres pongan ""amor y chicos pongan ""mande"" *c vale enomarse*.";POS;"vamos a jugar un juego, mujeres pongan ""amor y chicos pongan ""mande"" *c vale enomarse*."
316;@Fasmida A mí me dan paz, incluso me atrevería a decir, que es de los sitios que más seguro me encuentro.;POS;@usuario  a mí me dan paz, incluso me atrevería a decir, que es de los sitios que más seguro me encuentro.
1194;"⚽ ¿LLEGAN LOS GOLES A BOCA? 

Darío Benedetto tendría todo arreglado para ponerse nuevamente la camiseta de Boca Juniors. 

#BocaJuniors
#SiPipa
#Benedetto 

https://t.co/lQFAxQlAYH";POS;emoji balón de fútbol emoji  ¿ llegan  los  goles  a  boca?  darío  benedetto tendría todo arreglado para ponerse nuevamente la camiseta de  boca  juniors. boca juniors si pipa benedetto url
1592;@metroymed Ok genia, que es lo importante ahora según vos, no te entiendo, estás contra todo, no te sirve nada, que es lo que debemos hacer?;NEG;@usuario  ok genia, que es lo importante ahora según vos, no te entiendo, estás contra todo, no te sirve nada, que es lo que debemos hacer?
1537;@javierlanari En la patagonia llevan 30 y pico de dias. Ayer en Miramar, tambien otros lugares. Donde esta @juan ??   donde estan los aviones hidrantes de ?;NEG;@usuario  en la patagonia llevan 30 y pico de dias.  ayer en  miramar, tambien otros lugares.  donde esta @usuario ?? donde estan los aviones hidrantes de ?
1231;En medio de las negociaciones con el FMI el presidente   Fernández, Mario Ishii y Axel Kicillof no tienen una mejor idea que visitar a Rusia que está casi en conflicto bélico con el mayor accionista del Fondo (USA). https://t.co/QBKTr6XQvC;NEG;en medio de las negociaciones con el  fmi el presidente  fernández,  mario  ishii y  axel  kicillof no tienen una mejor idea que visitar a  rusia que está casi en conflicto bélico con el mayor accionista del  fondo ( usa). url
1574;@femibarbi @HernanSCastillo Lo sé. Pero jamás me respondió una Barby!!!  y responde a un montón de gente, de hecho a veces se prende cuando le pegan y es crack. Pero a mi jamás!! Me ningunea...y ya vos respondiste al toque, sos recontra crack, igual que él, pero vos das respuesta...jajaja Gracias Genia!;POS;@usuario @usuario  lo sé.  pero jamás me respondió una  barby!!! y responde a un montón de gente, de hecho a veces se prende cuando le pegan y es crack.  pero a mi jamás!!  me ningunea...y ya vos respondiste al toque, sos recontra crack, igual que él, pero vos das respuesta...jaja  gracias  genia!
1260;"@IgnisLaAlpaca @coookyyy_ @markmcclos @maidenpoem Y me ratifico en la decisión de no tener hijos porque con personas que crían hijos de p***a como tú, el mejor acto de amor y altruismo es ahorrarles el sufrimiento de soportaros. 
No quiero leerte más.";NEG;@usuario @usuario @usuario @usuario  y me ratifico en la decisión de no tener hijos porque con personas que crían hijos de p***a como tú, el mejor acto de amor y altruismo es ahorrarles el sufrimiento de soportaros.  no quiero leerte más.
1008;Mar del Plata https://t.co/XQdKPPIU8T;POS;mar del  plata url
1063;@iamtuty Eso es aceptable porque a veces no podés trasladar o no querés que vayan a buscar a tu casa, y para el cirujeo es lo más práctico. Pero meter en la misma bolsa las cáscaras de huevo, los pañales del pibe y juego completo de vajillas/ropa/pequeños electrodomésticos? Sos un sorete.;NEG;@usuario  eso es aceptable porque a veces no podés trasladar o no querés que vayan a buscar a tu casa, y para el cirujeo es lo más práctico.  pero meter en la misma bolsa las cáscaras de huevo, los pañales del pibe y juego completo de vajillas/ropa/pequeños electrodomésticos?  sos un sorete.
1058;"“….
  lo entiende porque estuvo en las filas montoneras. También los dirigentes de La Cámpora se reconocen herederos espirituales de los militantes setentistas, entre quienes el dogmatismo era un sello distintivo….” https://t.co/C8NRmzQzXW";POS;""". lo entiende porque estuvo en las filas montoneras.  también los dirigentes de  la  cámpora se reconocen herederos espirituales de los militantes setentistas, entre quienes el dogmatismo era un sello distintivo."" url"
549;@analiajho Meta chancla. Así recuperamos hasta las  Malvinas.;POS;@usuario  meta chancla.  así recuperamos hasta las  malvinas.
1023;La décima sabe mejor: Peñarol venció a Atenas y sigue en alza https://t.co/3bBGMomrrJ https://t.co/DvFIG9oGkj;POS;la décima sabe mejor:  peñarol venció a  atenas y sigue en alza url url
795;"🗓️ 12/9/1990
🧒 Gustavo Miguel Zapata
⚽ Barcelona (Ecu) vs River Plate
📸 Sin datos
📏 Diapositiva (no impresa)

#riverplate #river #vamosriver #carp #elmasgrande #riverplategram #somosriver #daleriver #Argentina https://t.co/eYEPVWtwiX";POS;emoji calendario de espiral emoji  12/9/1990  emoji infante emoji   gustavo  miguel  zapata  emoji balón de fútbol emoji   barcelona ( ecu) vs  river  plate  emoji cámara con flash emoji   sin datos  emoji regla emoji   diapositiva (no impresa) riverplate river vamosriver carp elmasgrande riverplategram somosriver daleriver argentina url
823;Tengo pocas esperanzas respecto a ceder a las presiones.  Tenemos un gobierno donde todo lo que se llamé  es sinónimo de prejuicios,  de mínima. Así que no me extrañaría,  deberían cerrar filas con l@s nuestr@s como hacen ell@s https://t.co/xZlVhdZGi9;NEG;tengo pocas esperanzas respecto a ceder a las presiones.  tenemos un gobierno donde todo lo que se llamé es sinónimo de prejuicios, de mínima.  así que no me extrañaría, deberían cerrar filas con l@usuario nuestr@usuario como hacen ell@usuario url
581;Para... llueve en todo el mundo menos en CABA?? Dale...;NEG;para... llueve en todo el mundo menos en  caba??  dale...
39;"@LaPagVerdolaga Asi se justifica la corrupcion.
Nunca Boca Juniors le podria haber ganado al Real Madrid y al Milan.
Boca pego todo lo que quiso y estan los videos.
Penales y goles en contra de Boca que no eran cobrados una cosa de locos.
Aceptar la plata de la familia   trae concecuencias https://t.co/NuPwYkjWKA";NEG;"@usuario  asi se justifica la corrupcion.
 nunca  boca  juniors le podria haber ganado al  real  madrid y al  milan.
 boca pego todo lo que quiso y estan los videos.
 penales y goles en contra de  boca que no eran cobrados una cosa de locos.
 aceptar la plata de la familia trae concecuencias url"
1839;Lo que si amarra a una mujer y un hombre es amor bonito, respetuoso, comprendido, con mucha sinceridad y camaradería. https://t.co/6C3IvuWR3s;POS;lo que si amarra a una mujer y un hombre es amor bonito, respetuoso, comprendido, con mucha sinceridad y camaradería. url
1079;@i10WLLS tu familia no es la que va a estudiar, sos vos, estudia lo que a ti más que guste no lo que ellos te digan;POS;@usuario tu familia no es la que va a estudiar, sos vos, estudia lo que a ti más que guste no lo que ellos te digan
862;"Escupí un flor de moco en la calle

Y   lo cuenta como ""Espacio verde""";NEG;"escupí un flor de moco en la calle  y lo cuenta como "" espacio verde"""
504;"Partido 5: Boca enfrentará en octavos de final a Las Malvinas de La Plata.
#VamosBoca 🟦🟨🟦 https://t.co/fFoIz4FEsa";POS;partido 5:  boca enfrentará en octavos de final a  las  malvinas de  la  plata. vamos boca  emoji cuadrado azul emoji  emoji cuadrado amarillo emoji  emoji cuadrado azul emoji  url
1395;"¡SE VIENE UN PARTIDAZO!
Este lunes a las 21:00 horas, Colo Colo se enfrenta a Boca Juniors en el Estadio Ciudad de La Plata por una nueva fecha del Grupo A.

Sigue todo el Fútbol Internacional de Verano en vivo y en exclusiva por @StarPlusLA https://t.co/PIiWlLUoXa";POS;¡ se  viene  un  partidazo!  este lunes a las 21:00 horas,  colo  colo se enfrenta a  boca  juniors en el  estadio  ciudad de  la  plata por una nueva fecha del  grupo  a.  sigue todo el  fútbol  internacional de  verano en vivo y en exclusiva por @usuario url
385;@Lean_2387 La terminal de ómnibus 🚌 Retiro es un espanto!! Antes con MM estaba impecable, ahora salir tenés que pasar por tolderías, parece continuación de 31!! # 😡;NEG;@usuario  la terminal de ómnibus  emoji autobús emoji   retiro es un espanto!!  antes con  mm estaba impecable, ahora salir tenés que pasar por tolderías, parece continuación de 31!! #  emoji cara cabreada emoji
1455;"#Malvinas: El secretario de Malvinas, Antártida y Atlántico Sur, Guillermo Carmona, se expresó respecto de los preparativos por el 40 aniversario de la Guerra de Malvinas. Remarcó que es una agenda planteada para todo el año

https://t.co/19iluuFSBY";POS;malvinas:  el secretario de  malvinas,  antártida y  atlántico  sur,  guillermo  carmona, se expresó respecto de los preparativos por el 40 aniversario de la  guerra de  malvinas.  remarcó que es una agenda planteada para todo el año url
1282;@FabBallarini Santos Lugares , Buenos Aires https://t.co/GR7VjY0TPi;POS;@usuario  santos  lugares ,  buenos  aires url
675;Aconcagua, Mendoza, Argentina ♡ https://t.co/EG2sFq2rys;POS;aconcagua,  mendoza,  argentina  emoji corazón rojo emoji  url
611;"Hincha de Independiente: tengo un club

River Plate: https://t.co/iGXAUFopns";POS;hincha de  independiente: tengo un club  river  plate: url
910;  se hace el gestor moderno y tiene -atención- COSPELES para pagar el estacionamiento. 🤪 https://t.co/suuqtwIoMV;NEG;se hace el gestor moderno y tiene -atención-  cospeles para pagar el estacionamiento.  emoji cara de loco emoji  url
934;@edufeiok https://t.co/i8OINy9f9N ¡FEINMANN, SOBRE TODO DE LA CORRUPCIÓN DE FUNCIONARIOS QUE VENDEN EL,PATRIMONIO DE LOS CIUDADANOS SIN PEDIR NINGUN PERMISO, COMO EL CASO DE ESTE ALCALDE QUE VENDE NUESTRO PATRIMONIO COMO SI FUERA UN PATRÓN DE ESTANCIA, SALUDOS!!;NEG;@usuario url ¡ feinmann,  sobre  todo  de  la  corrupció n  de  funcionarios  que  venden  el, patrimonio  de  los  ciudadanos  sin  pedir  ningun  permiso,  como  el  caso  de  este  alcalde  que  vende  nuestro  patrimonio  como  si  fuera  un  patró n  de  estancia,  saludos!!
171;@FabianFriasRCSC @Sant12boc @porquetendencia @Censo2022 creo q pq somos mucho mas q 40 aparte a mi se me quedó eso d 40 millones d argentinos y argentinas por  ;POS;@usuario @usuario @usuario @usuario creo q pq somos mucho mas q 40 aparte a mi se me quedó eso d 40 millones d argentinos y argentinas por
1804;"@hernan_zeta @ale_carletti @nkreplak Ingresa a la página:
https://t.co/6ZPrXfw1Ed
Dependiendo de la gravedad de la enfermedad tenes que esperar atener a la recuperación y el alta médica. https://t.co/BzfgLQD83T";POS;@usuario @usuario @usuario  ingresa a la página: url  dependiendo de la gravedad de la enfermedad tenes que esperar atener a la recuperación y el alta médica. url
794;@Glamycap Mi abuela, fiel oyente d radio, en uno d esos tantos gramas q sacaban gente al aire, entrevistaron a un sr hincha de Gimnasia q había perdido una pierna en Malvinas. Antes d cerrar la charla el periodista le pregunta q fue lo peor que le pasó en la vida? Sigue;POS;@usuario  mi abuela, fiel oyente d radio, en uno d esos tantos gramas q sacaban gente al aire, entrevistaron a un sr hincha de  gimnasia q había perdido una pierna en  malvinas.  antes d cerrar la charla el periodista le pregunta q fue lo peor que le pasó en la vida?  sigue
1178;YO ME CAGO EN LOS PUTOS MUERTOS DE LA FEDERACION QUE ES UNA MAFIA Y UNA BASURA. CONTRA TODO, CONTRA TODOS CABRONES;NEG;yo  me  cago  en  los  putos  muertos  de  la  federacion  que  es  una  mafia  y  una  basura.  contra  todo,  contra  todos  cabrones
1035;  sobria https://t.co/pyskLYv7qz;POS;sobria url
827;Mientras tanto en algún barcito de caba...🤣🤣🤣 https://t.co/BQlBVrL85E;POS;mientras tanto en algún barcito de caba... emoji cara revolviéndose de la risa emoji  emoji cara revolviéndose de la risa emoji  emoji cara revolviéndose de la risa emoji  url
535;@AlbertCarp4 Nos va a entregar este mamarracho,estan hablando se sesecionar La Patagonia TRAIDORES HDP!!;NEG;@usuario  nos va a entregar este mamarracho,estan hablando se sesecionar  la  patagonia  traidores  hdp!!
1168;"Procesaron por narcotráfico al intendente del PRO CAMBIEMOS DE  Paraná, que tendrá que depositar $ 1 millón para seguir libre https://t.co/fxoG09pIe1 
";NEG;procesaron por narcotráfico al intendente del  pro  cambiemos  de  paraná, que tendrá que depositar $ 1 millón para seguir libre url
822;Y en simultaneo, en la Peronia de Conchita Fernández de  salieron las focas a comerse al mundo porque hicieron uno en esa cueva de chorros que es el CONICET... https://t.co/0kalGgrr5q;POS;y en simultaneo, en la  peronia de  conchita  fernández de salieron las focas a comerse al mundo porque hicieron uno en esa cueva de chorros que es el  conicet... url
1250;#Pasapalabra439 Cada vez que llega el descanso me llaman pa cenar. Pues ná. Me piro vampiro hasta mañana. Mañana más y no mejor, porque es imposible;NEG;pasapalabra439  cada vez que llega el descanso me llaman pa cenar.  pues ná.  me piro vampiro hasta mañana.  mañana más y no mejor, porque es imposible
212;@ClaudiodeSanM10 @   @herlombardi @JavierJiguacel Los Báez AFANANDO plata para los   https://t.co/cTdQwaTiKo;NEG;@usuario @usuario @usuario @usuario  los  báez  afanando plata para los url
231;Jesica Cirio también aparece en las “carpetas” de     https://t.co/ybEX2TmiHV;NEG;"jesica  cirio también aparece en las ""carpetas"" de url"
1246;No se dejen envenenar la mente por ignorantes, @santiguarderas @caro_vr Cecilia Pacheco, la mejor decisión para #Quito es el proyecto #Urkupamba https://t.co/xm486q5qaq;NEG;no se dejen envenenar la mente por ignorantes, @usuario @usuario  cecilia  pacheco, la mejor decisión para quito es el proyecto urkupamba url
311; llega a @MonteHermoso_OK el martes https://t.co/C59ZEz9YdI;POS;llega a @usuario el martes url
1052;  pidió salir del “mundo del revés” y que los delincuentes “estén presos” https://t.co/Zq1SVDD4Ix vía @el diario de Leuco;NEG;"pidió salir del ""mundo del revés"" y que los delincuentes ""estén presos"" url vía @usuario diario de  leuco"
256;¿Por qué será que mujeres que han ejercido poder, como Hillary Clinton, Golda Meir, Indira Gandi, Ángela Merkel, Margaret Thatcher, María Fernanda Cabal,   Fernández de  , Michelle Bachelet, no abrazan con fervor el feminismo ni el odio al varón?;POS;¿ por qué será que mujeres que han ejercido poder, como  hillary  clinton,  golda  meir,  indira  gandi, ángela  merkel,  margaret  thatcher,  maría  fernanda  cabal,  fernández de ,  michelle  bachelet, no abrazan con fervor el feminismo ni el odio al varón?
666;"#BuenDíaContinental  Antonio Calo sobre Precios Cuidados:  ""Hay que cuidarlos más, la inflación es el peor impuesto que tenemos los trabajadores y siempre los salarios corren detrás. Ojalá algún día empatemos""

https://t.co/vH6QItkIGn";POS;"buen día continental  antonio  calo sobre  precios  cuidados: "" hay que cuidarlos más, la inflación es el peor impuesto que tenemos los trabajadores y siempre los salarios corren detrás.  ojalá algún día empatemos"" url"
1564;jajajaja yo a maradona https://t.co/vKpUiPgxwM;POS;jaja yo a maradona url
1761;Que ciudad tan horrible pordior lo unico lindo es la danza lit;NEG;que ciudad tan horrible pordior lo unico lindo es la danza lit
655;@viejo_bolsa @mauroriver23 @betomagico92 @DiarioOle Voce quiere tapar la garchada mundial con el desenso de river plate! 😉;POS;@usuario @usuario @usuario @usuario  voce quiere tapar la garchada mundial con el desenso de river plate!  emoji cara guiñando el ojo emoji
947;Que ganas de clavarme un asadito esta noche;POS;que ganas de clavarme un asadito esta noche
1548;@Anastasazia NÉSTOR  LO MEJOR PARA ARGENTINA;POS;@usuario  né stor  lo  mejor  para  argentina
1680;Con este clima solo me dan ganas de estar abrazada con él que me gusta.;POS;con este clima solo me dan ganas de estar abrazada con él que me gusta.
